Symbol
AV.L
AHT.L
AZN.L
AGL.L
PETS.L
LAS.L
AXS.L
AAL.L
SMA.L
RMP.L
FSJ.L
CAMB.L
BBA.L
BATS.L
AVV.L
ASH.L
AHCG.L
ABF.L
ABC.L
BARC.L
LLOY.L
RBS.L
LRE.L
BRBY.L
BP.L
BOE.L
BLND.L
BA.L
BKG.L
MAB.L
GKP.L
BVS.L
BVIC.L
BOK.L
BAB.L
PEBI.L
BRW.L
BMY.L
BGO.L
BGEO.L
BDEV.L
OCN.L
MAIL.L
HSX.L
GFM.L
RDSB.L
DEB.L
DCG.L
LWDB.L
DOM.L
DCC.L
JDW.L
DRX.L
DLAR.L
SMDS.L
RMG.L
DVO.L
DPP.L
DNLM.L
DKL.L
DJAN.L
DDDD.L
BFA.L
SPD.L
PDL.L
GEMD.L
EDP.L
DRV.L
DPH.L
DPA.L
DGB.L
DFIB.L
DEMG.L
DCD.L
DC.L
C4XD.L
STEL.L
SEPL.L
MCON.L
KMK.L
HZD.L
GDL.L
FDI.L
FDEV.L
EKF.L
EXPN.L
ECM.L
KWE.L
CNE.L
RKH.L
NEX.L
LSE.L
EVR.L
ESUR.L
EBQ.L
GEC.L
EZJ.L
EXI.L
ETO.L
ELM.L
UVEL.L
ULE.L
TRIN.L
TOM.L
PCGE.L
OPHR.L
MYT.L
MTL.L
JEL.L
IAG.L
GWI.L
ESG.L
ERGO.L
EPWN.L
EME.L
EDR.L
BVA.L
BKY.L
ZHEH.L
PFG.L
IPF.L
FGP.L
FRES.L
JUP.L
FPM.L
COD.L
TTA.L
NFC.L
MCRO.L
JD.L
IOG.L
HFG.L
GLIF.L
FXPO.L
FOXT.L
FOUR.L
FLYB.L
FDSA.L
FBT.L
FAN.L
CARD.L
TPF.L
TIR.L
NG.L
GLEN.L
VOD.L
SRP.L
HSBA.L
STAN.L
GSK.L
CPG.L
CCL.L
SIA.L
RR.L
OML.L
IMG.L
III.L
CNA.L
WEIR.L
TCG.L
RNK.L
RIO.L
PFC.L
LMI.L
LGEN.L
ISAT.L
GOG.L
COB.L
WTB.L
WG.L
VCT.L
ULVR.L
TLW.L
SNR.L
SHB.L
SDY.L
SDR.L
QRT.L
NANO.L
MRW.L
MGGT.L
JMAT.L
ITV.L
GNS.L
GNC.L
CLLN.L
WMH.L
UKOG.L
TRS.L
TEP.L
TATE.L
SLI.L
SGE.L
SBRY.L
RTO.L
RTN.L
RSA.L
RRS.L
PSON.L
PNN.L
NOG.L
LRM.L
KIE.L
KGF.L
KAZ.L
JLT.L
IMI.L
IGG.L
HSTN.L
HOC.L
GKN.L
GFRD.L
CWK.L
CLDN.L
WEB.L
VER.L
UANC.L
TSCO.L
TPK.L
TCM.L
SXS.L
SSPG.L
SMP.L
SAGA.L
ROL.L
REL.L
RE.L
PZC.L
PUB.L
PRV.L
PML.L
PDG.L
PAY.L
PAG.L
OXIG.L
OVG.L
OCDO.L
MTW.L
MTPH.L
MONY.L
MERC.L
MCGN.L
MARS.L
LSL.L
KLR.L
INF.L
INCH.L
ICP.L
HVN.L
HMSO.L
HL.L
HGM.L
HEAD.L
HAS.L
GRI.L
GLE.L
GFS.L
CBG.L
BYG.L
BWY.L
BQE.L
WKP.L
WHI.L
VTC.L
TW.L
TRX.L
TRK.L
TON.L
TIDE.L
TALK.L
SVT.L
SVE.L
SVCA.L
SUH.L
STJ.L
STHR.L
STB.L
STAF.L
SRB.L
SPO.L
SPI.L
SOLG.L
SNT.L
SN.L
SML.L
SMJ.L
SIV.L
SHRE.L
SHI.L
SGRO.L
SDRC.L
SDL.L
RTC.L
RSW.L
RPS.L
RPC.L
ROR.L
RNWH.L
RMM.L
RGP.L
RAT.L
QTX.L
QQ.L
QP.L
PTCM.L
PSN.L
PRU.L
POS.L
PMG.L
PHNX.L
PGH.L
OSB.L
OMG.L
OBT.L
NXT.L
NWT.L
NSCI.L
NRR.L
NCC.L
NBB.L
NASA.L
MWG.L
MUBL.L
MSYS.L
MSMN.L
MRO.L
MOGP.L
MNDI.L
MLC.L
MKS.L
MCKS.L
LSR.L
LRD.L
LND.L
RYA.L
HON.L
NHY.L
IHG.L
HTG.L
HSV.L
HSS.L
HSP.L
HLMA.L
HFD.L
HAYD.L
GHH.L
ALY.L
VENN.L
TXH.L
TEF.L
SPHR.L
SHP.L
WPP.L
3IN.L
POLY.L
RICO.L
MBO.L
JPR.L
JKX.L
CREI.L
CHOO.L
BOOM.L
BEZ.L
UBM.L
TYT.L
STAR.L
SCHO.L
ROSN.L
MNOD.L
MCLS.L
LTHM.L
LKOH.L
KNM.L
JLP.L
JIM.L
JIL.L
JDG.L
GRL.L
GENL.L
CSFG.L
CRPR.L
CIR.L
CEY.L
BMTO.L
BMT.L
AKRN.L
MYSL.L
CMCL.L
JHD.L
UJO.L
LXB.L
MMK.L
SSA.L
CIU.L
TPFZ.L
OGZD.L
MASA.L
VTBR.L
BZM.L
KIBO.L
KMR.L
KGP.L
KENV.L
KEFI.L
KCOM.L
IKK.L
AGK.L
TILS.L
TET.L
SKG.L
PLP.L
PEL.L
LEAF.L
KSK.L
KOOV.L
KOD.L
KLN.L
KBT.L
KAKU.L
KHTC.L
GNK.L
FRR.L
FLK.L
FCRM.L
EYE.L
CLST.L
URU.L
PLAZ.L
GRPH.L
BWNG.L
YNGN.L
ULS.L
NYO.L
NUM.L
NTQ.L
NTG.L
NMD.L
NLMK.L
NIPT.L
NICL.L
SBER.L
CDI.L
SOLO.L
SAUD.L
SCIN.L
RCP.L
PMO.L
PHI.L
ORCP.L
OPPP.L
OCT.L
FOG.L
ELA.L
CLIG.L
CHAR.L
BAF.L
ATST.L
OEX.L
OTMT.L
CZA.L
EOG.L
PTEC.L
RDI.L
CRH.L
ZMNO.L
QXT.L
QFI.L
CROS.L
MAB1.L
ENTU.L
GAMA.L
AERO.L
SQS.L
RRL.L
INDV.L
CAL.L
XTR.L
URA.L
SRT.L
SRES.L
SGZ.L
SZCD.L
TYRU.L
UU.L
UTG.L
UCG.L
TYR.L
SPSY.L
SOM.L
MHM.L
LLD1.L
GFTU.L
GEEC.L
DUPD.L
BXP.L
BC94.L
CCC.L
ATMA.L
WAFM.L
VTU.L
VSVS.L
VRP.L
VP.L
VLE.L
VIS.L
VIP.L
VGAS.L
VEC.L
VCP.L
VAL.L
PREM.L
MIL.L
LIV.L
BME.L
AMC.L
AGR.L
AGQ.L
AGP.L
AAA.L
VLX.L
0N2Z.L
NCCL.L
NWIG.L
FLX.L
OTC.L
VRS.L
WTI.L
WSG.L
WSBN.L
WLFE.L
WINK.L
WIN.L
WIL.L
TLA.L
SPX.L
SMWH.L
SLE.L
MWE.L
GAW.L
AFS.L
WSL.L
GWMO.L
WYN.L
XPP.L
XAR.L
XLM.L
XSG.L
IHC.L
AVCT.L
YOU.L
YNGA.L
TLY.L
RRR.L
RGM.L
PHP.L
PFP.L
CTP.L
YOLO.L
SCH.L
DLG.L
NXR.L
DTC.L
BWO.L
0QP2.L
ZZZ.L
SHOE.L
AST.L
ZIOC.L
ZOL.L
ZAM.L
ZYT.L
ZTF.L
ZBO.L
ZOO.L
WATR.L
CHZN.L
AAU.L
AAZ.L
ABZA.L
ABDP.L
ABBY.L
ACL.L
ACID.L
ACC.L
AEG.L
BVC.L
ADT.L
ADM.L
AMS.L
AFN.L
0QNM.L
AEX.L
SPRP.L
AEP.L
AFRB.L
AFC.L
PAF.L
AFHP.L
AFID.L
PMEA.L
CZB.L
AGY.L
AGRO.L
AGM.L
0QMG.L
0P6O.L
0P6S.L
0QP5.L
0QJS.L
0P6N.L
AGTA.L
0QO3.L
0QKI.L
AMPH.L
0QLR.L
AIEA.L
0P6M.L
AKR.L
BPKD.L
ALM.L
APH.L
ANR.L
ALT.L
AXM.L
ALU.L
ALPH.L
ARGP.L
ALBA.L
AMP.L
AMER.L
AMBR.L
AMO.L
0OGQ.L
ANTO.L
SCL.L
EAH.L
ANP.L
ANCR.L
DMGT.L
HNL.L
APF.L
HSM.L
RIV.L
ASY.L
RKMD.L
AYM.L
AOMD.L
AOR.L
APC.L
ARW.L
ARL.L
ARGO.L
ARBB.L
ARG.L
ARDN.L
ARO.L
ARTA.L
ASTO.L
ASHM.L
LIO.L
ASC.L
ASCD.L
IPX.L
0Q8M.L
0P0T.L
ASBE.L
CAML.L
ASPL.L
ATQT.L
ATAD.L
SEE.L
MNC.L
FCR.L
BSE.L
AUG.L
AVN.L
AVM.L
AVG.L
AVON.L
AVAP.L
BCN.L
BAG.L
TIBD.L
HLCL.L
BLEY.L
BKM.L
BBY.L
TGBD.L
SBID.L
GRTB.L
BBOX.L
BCRE.L
BLV.L
RB.L
BMK.L
BEM.L
BEG.L
NTBR.L
BZT.L
TCS.L
SNGR.L
BLT.L
GMR.L
BIOM.L
BILN.L
BISI.L
BILL.L
OXB.L
LNTA.L
BLVN.L
BLUR.L
BLBD.L
BRD.L
BLU.L
CTI.L
CAPD.L
RQIH.L
SLP.L
BMN.L
RLD.L
SRO.L
PURE.L
BMS.L
BMR.L
BNZL.L
BNC.L
BOR.L
LWB.L
BOY.L
BON.L
BOD.L
BOO.L
SIS.L
BPC.L
BPM.L
KWS.L
BRK.L
HVT.L
BRY.L
MOSB.L
MBH.L
LKOD.L
HYDR.L
BYOT.L
GAL.L
CDFF.L
CAU.L
CAR.L
CAPC.L
CAD.L
SGR.L
POLR.L
PLA.L
COG.L
CMX.L
CAY.L
CAM.L
CAKE.L
CFYN.L
CMBN.L
CBQS.L
CBKD.L
CCP.L
CCT.L
CCR.L
CNIC.L
OPM.L
CLL.L
FETD.L
CEPS.L
C21.L
CWR.L
CRND.L
GOAL.L
CNKS.L
STCM.L
CLTV.L
CFX.L
CFHS.L
CGS.L
CGH.L
CGVD.L
CTG.L
CHRT.L
CTR.L
CSN.L
CHH.L
CHA.L
CNSD.L
0QR4.L
58GZ.L
CIC.L
CINE.L
CIN.L
CKN.L
CLNR.L
CLI.L
CLG.L
IXI.L
CLIN.L
CTO.L
CMS.L
CMH.L
CML.L
CNC.L
CNR.L
