Symbol;Name;Sector
ALSIM.PA;Assima PLC;Business Software & Services
ALS30.PA;Solutions 30 SE;Business Software & Services
ALNEV.PA;Neovacs S.A.;Biotechnology
ALNBT.PA;NetBooster SA;Marketing Services
ALLOG.PA;Logic Instrument S.A.;Computer Based Systems
ALIOX.PA;Innoveox;Pollution & Treatment Controls
ALIMO.PA;Groupimo S.A.;Real Estate Development
ALICR.PA;I.CERAM SA;Medical Instruments & Supplies
ALHIT.PA;HiTechPros SA;Information Technology Services
ALHEO.PA;H2O Innovation Inc.;Pollution & Treatment Controls
ALGLD.PA;Gold By Gold SA;Industrial Metals & Minerals
ALFRE.PA;Freelance.com SA;Staffing & Outsourcing Services
ALFPC.PA;Fountaine Pajot SA;Recreational Goods, Other
ALEUP.PA;Europlasma SA;Waste Management
ALENT.PA;Entreparticuliers.com;Internet Information Providers
ALDEI.PA;Deinove SA;Specialty Chemicals
ALCJ.PA;Crossject Société Anonyme;Medical Instruments & Supplies
ALCAR.PA;Carmat SA;Medical Instruments & Supplies
ALAUP.PA;Auplata S.A.;Gold
ALANT.PA;Antevenio, S.A.;Advertising Agencies
ALHPC.PA;Heurtey Petrochem S.A.;Industrial Equipment Wholesale
ALMER.PA;Sapmer SA;Food - Major Diversified
ALSGD.PA;SpineGuard Société Anonyme;Medical Appliances & Equipment
ALECR.PA;Eurofins Cerep SA;Drug Manufacturers - Major
ALINT.PA;IntegraGen SA;Biotechnology
ALMGI.PA;MG International;Security & Protection Services
ALMED.PA;Medicrea;Medical Instruments & Supplies
ALI2S.PA;i2S SA;Diversified Electronics
ALREA.PA;Réalités;Property Management
ALPHY.PA;Alès Groupe S.A.;Personal Products
ALBFR.PA;Sidetrade SA;Technical & System Software
ALMNG.PA;madvertise;Advertising Agencies
ALINS.PA;Intrasense SAS;Healthcare Information Services
ALMDT.PA;Median Technologies SA;Medical Laboratories & Research
ALMOU.PA;Moulinvest SA;Lumber, Wood Production
AOMD.F;Alstom SA;Diversified Machinery
ALBIO.PA;Biosynex SA;Medical Laboratories & Research
ALAQU.PA;Aquila SA;Security & Protection Services
PHM7.F;Altria Group, Inc.;Tobacco Products, Other
ALOBR.PA;Ober SA;General Building Materials
ALTVO.PA;Evolis SA;Diversified Machinery
DUL.F;Alnylam Pharmaceuticals, Inc.;Biotechnology
ALDR.PA;Delta Drone SA;Aerospace/Defense - Major Diversified
ALCOG.PA;Cogra 48 Société Anonyme;Lumber, Wood Production
ALSER.PA;Groupe Serma Technologies SA;Business Services
ALWED.PA;Wedia SA;Business Software & Services
ALMIL.PA;1000mercis;Marketing Services
ALHYG.PA;Hybrigenics Société Anonyme;Biotechnology
ALSPW.PA;Spineway Société Anonyme;Medical Appliances & Equipment
ALDLS.PA;DLSI;Staffing & Outsourcing Services
ALGBE.PA;Global Bioenergies;Diversified Utilities
ALMAS.PA;Mastrad Société Anonyme;Personal Products
ALMET.PA;Méthanor SCA;Diversified Utilities
ALVIV.PA;Visiativ SA;Technical & System Software
ALDOL.PA;Dolphin Integration;Semiconductor - Broad Line
ALANV.PA;Anevia Société Anonyme;Business Software & Services
ALSTW.PA;Streamwide S.A.;Business Software & Services
ALMIC.PA;Microwave Vision S.A.;Diversified Electronics
ALA2M.PA;A2micile Europe;Personal Services
ALSOL.PA;Custom Solutions SA;Marketing Services
ALTA.PA;Altarea SCA;REIT - Residential
ALVER.PA;Vergnet SA;Diversified Utilities
ANO.F;Alno AG;Home Furnishings & Fixtures
ALNOV.PA;Novacyt Société Anonyme;Biotechnology
ALTRI.PA;Trilogiq S.A.;Conglomerates
ALDIE.PA;Dietswell S.A.;Oil & Gas Equipment & Services
ALM.PA;Alpha MOS S.A.;Scientific & Technical Instruments
ALDV.PA;Alliance Developpement Capital SIIC;Property Management
ALPRI.PA;Prismaflex International SA;Marketing Services
ALEUA.PA;Eurasia Groupe S.A.;Real Estate Development
ALPRO.PA;Prodware;Business Software & Services
PA2.F;Pan American Silver Corp.;Silver
BMT.F;British American Tobacco p.l.c.;Tobacco Products, Other
AM.PA;Dassault Aviation S.A.;Aerospace/Defense - Major Diversified
NCB.DE;Bank of America Corporation;Money Center Banks
AM3D.F;SLM Solutions Group AG;Diversified Machinery
MLARD.PA;Ardoin ST Amand A;Auto Dealerships
NCB.F;Bank of America Corporation;Money Center Banks
AMD.F;Advanced Micro Devices, Inc.;Semiconductor - Broad Line
PSAT.PA;Passat Société Anonyme;Advertising Agencies
PROL.PA;Prologue S.A.;Technical & System Software
PERR.PA;Gérard Perrier Industrie S.A.;Diversified Electronics
MLIMP.PA;Imprimerie Chirat Société Anonyme;Publishing - Newspapers
MLHOP.PA;Participation Industrielle Miniere Société Anonyme;Conglomerates
MLGRC.PA;Groupe Carnivor Société Anonyme;Savings & Loans
GUI.PA;Guillemot Corporation S.A.;Computer Based Systems
FIPP.PA;FIPP S.A.;Conglomerates
ETL.PA;Eutelsat Communications S.A.;Communication Equipment
EDI.PA;Media 6 SA;Advertising Agencies
CO.PA;Casino, Guichard-Perrachon Société Anonyme;Grocery Stores
BLUE.PA;Blue Solutions Société Anonyme;Diversified Electronics
BLEE.PA;Bleecker Société Anonyme;REIT - Diversified
ANF.PA;ANF Immobilier;REIT - Diversified
MND.PA;MND Group Société Anonyme;Recreational Goods, Other
MLCEC.PA;Cecurity.com Société Anonyme;Security & Protection Services
MLPSH.PA;T.P.S.H. Société Anonyme;Diversified Machinery
MLOLM.PA;Olmix Société Anonyme;Agricultural Chemicals
MLSIC.PA;Financiere Sicomax Société Anonyme;Property Management
MLETA.PA;Metalliance Société Anonyme;Diversified Machinery
INFE.PA;Compagnie Industrielle et Financière d'Entreprises SA;General Contractors
AUGR.PA;Augros Cosmetic Packaging Société anonyme;Packaging & Containers
RAL.PA;Rallye SA;Grocery Stores
MLFXO.PA;Finaxo Environnement Societe Anonyme;Waste Management
FALG.PA;Fermentalg Société Anonyme;Biotechnology
LLY.PA;Eli Lilly and Company;Drug Manufacturers - Major
SLB.PA;Schlumberger Limited;Oil & Gas Equipment & Services
STNT.PA;STENTYS S.A.;Medical Appliances & Equipment
MLFRC.PA;France-Chauffage Société Anonyme;Industrial Equipment Wholesale
NRX.PA;Naturex S.A.;Farm Products
SCL.F;Schlumberger Limited;Oil & Gas Equipment & Services
MLCFD.PA;Compagnie de Chemins de Fer Départementaux Société Anonyme;Railroads
SFCA.PA;Société Française de Casinos Société Anonyme;Resorts & Casinos
SII.PA;SII (Société pour l'Informatique Industrielle) Société Anonyme;Information Technology Services
AOF.F;ATOSS Software AG;Technical & System Software
APR.PA;April Société Anonyme;Insurance Brokers
AP2.F;Applied Materials, Inc.;Semiconductor Equipment & Materials
MLGAI.PA;Grande Armee Investissement SA;Business Services
ARO.F;Arcandor AG;Department Stores
ARG.PA;Argan SA;REIT - Diversified
MLART.PA;Artsnet;Information Technology Services
U9R.F;Under Armour, Inc.;Textile - Apparel Clothing
JXR.PA;Archos S.A.;Electronic Equipment
MLAMY.PA;Arthur Maury SA;Jewelry Stores
ARTO.PA;La Société Industrielle et Financière de l'Artois;Conglomerates
PRC.PA;Artprice.com;Publishing - Newspapers
A6T.F;artec technologies AG;Electronic Equipment
AR4.F;AURELIUS Equity Opportunities SE & Co. KGaA;Asset Management
ADM.F;Archer-Daniels-Midland Company;Farm Products
MLNMA.PA;Nicolas Miguet et Associes SA;Business Services
ASY.PA;Assystem SA;General Contractors
ASK.PA;ASK S.A.;Semiconductor- Memory Chips
MLVOP.PA;Vopium A/S;Wireless Communications
CNP.PA;CNP Assurances SA;Life Insurance
ASP.PA;AST Groupe;Residential Construction
DIC.F;DIC Asset AG;Real Estate Development
SLL.F;Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft;Oil & Gas Equipment & Services
FATL.PA;Fonciere Atland;REIT - Diversified
ATEME.PA;ATEME SA;Communication Equipment
AUS.F;AT & S Austria Technologie & Systemtechnik Aktiengesellschaft;Printed Circuit Boards
SAC.F;Sanochemia Pharmazeutika AG;Drug Manufacturers - Major
O2C.F;Petro Welt Technologies AG;Oil & Gas Equipment & Services
FAA.F;Fabasoft AG;Technical & System Software
SOBA.F;AT&T Inc.;Wireless Communications
BFC.F;KTM Industries AG;Information Technology Services
AURE.PA;Aurea SA;Waste Management
AUB.PA;Aubay Société Anonyme;Information Technology Services
P4Q.F;Perseus Mining Limited;Gold
AURS.PA;AURES Technologies S.A.;Business Equipment
AVT.PA;Avenir Telecom S.A.;Communication Equipment
AWOX.PA;AwoX S.A.;Electronic Equipment
AXW.PA;Axway Software SA;Technical & System Software
SPR.F;Axel Springer SE;Publishing - Newspapers
AXA.F;AXA SA;Property & Casualty Insurance
MLAZL.PA;AZ Leasing;Rental & Leasing Services
LLD.F;Lloyds Banking Group plc;Money Center Banks
DTD2.F;B+S Banksysteme Aktiengesellschaft;Business Software & Services
COM.F;comdirect bank Aktiengesellschaft;Money Center Banks
BLC.PA;Bastide le Confort Medical SA;Medical Equipment Wholesale
BCRA.PA;Baccarat S.A.;Personal Products
BCY.F;Barclays PLC;Money Center Banks
MBK.F;Merkur Bank KGaA;Money Center Banks
VG8.F;Varengold Bank AG;Money Center Banks
BWB.F;Baader Bank Aktiengesellschaft;Investment Brokerage - National
BYW.F;BayWa Aktiengesellschaft;Business Services
BOY.F;Banco Bilbao Vizcaya Argentaria, S.A.;Money Center Banks
BBVA.F;Banco Bilbao Vizcaya Argentaria, S.A.;Money Center Banks
BCO.DE;The Boeing Company;Aerospace/Defense - Major Diversified
BCO.F;The Boeing Company;Aerospace/Defense - Major Diversified
BCLN.F;Barry Callebaut AG;Confectioners
BCAM.PA;Societe Anonyme des Brasseries du Cameroun;Beverages - Brewers
BC8.F;Bechtle AG;Information Technology Services
BDT.F;Bertrandt Aktiengesellschaft;Auto Parts
MLGES.PA;Green Energy 4 Seasons;Diversified Utilities
BEN.PA;Bénéteau S.A.;Recreational Goods, Other
MOS.F;Orange Belgium S.A.;Wireless Communications
MLMFI.PA;Condor International;Medical Instruments & Supplies
BEI.F;Beiersdorf Aktiengesellschaft;Personal Products
ECK.F;LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG;Department Stores
NBG6.F;NÜRNBERGER Beteiligungs-Aktiengesellschaft;Accident & Health Insurance
MLV4S.PA;Les Vérandas 4 Saisons;Business Services
BERR.PA;Financiere et Immobiliere de l'Etang de Berre et de la Mediterranee S.A.;Property Management
MA1.F;MAX 21 AG;Asset Management
MTU.PA;Manitou BF SA;Diversified Machinery
BIL.F;BHP Billiton plc;Industrial Metals & Minerals
BIM.PA;bioMérieux S.A.;Medical Laboratories & Research
BIG.PA;BigBen Interactive;Electronic Equipment
ELN.F;Elanix Biotechnologies AG;Specialty Retail, Other
ETG.F;EnviTec Biogas AG;Diversified Utilities
SSN.F;Schmolz + Bickenbach AG;Steel & Iron
GBF.F;Bilfinger SE;General Contractors
BIJ.F;Bijou Brigitte modische Accessoires Aktiengesellschaft;Jewelry Stores
IDP.F;Biogen Inc.;Biotechnology
SBS.F;STRATEC Biomedical AG;Medical Appliances & Equipment
VBK.F;VERBIO Vereinigte BioEnergie AG;Diversified Utilities
B8F.F;Biofrontera AG;Biotechnology
BIO.F;Biotest Aktiengesellschaft;Biotechnology
BKN.F;The Bank of Nova Scotia;Money Center Banks
CWW.F;Commonwealth Bank of Australia;Money Center Banks
B7E.F;Blue Cap AG;Asset Management
BLON.F;Bâloise Holding AG;Property & Casualty Insurance
S9A.F;SeaDrill Limited;Oil & Gas Drilling & Exploration
CBA.F;Brilliance China Automotive Holdings Limited;Auto Manufacturers - Major
BNP.F;BNP Paribas SA;Money Center Banks
BNP.DE;BNP Paribas SA;Money Center Banks
BND.PA;Business & Decision SA;Business Services
BNS.PA;Beni Stabili SIIQ S.p.A.;REIT - Diversified
BNR.F;Brenntag AG;Specialty Chemicals
BNT1.F;EYEMAXX Real Estate AG;Real Estate Development
GBB.PA;Bourbon Corporation SA;Oil & Gas Equipment & Services
BOI.PA;Boiron SA;Drug Manufacturers - Major
CARP.PA;Carpinienne de Participations;Property Management
BON.PA;Bonduelle SA;Food - Major Diversified
BYG.F;Bouygues SA;General Contractors
BYG.DE;Bouygues SA;General Contractors
BVB.F;Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien;Recreational Goods, Other
DB1.F;Deutsche Börse Aktiengesellschaft;Asset Management
BOSS.F;Hugo Boss AG;Textile - Apparel Clothing
BWJ.F;Boliden AB (publ.);Industrial Metals & Minerals
BPE5.F;BP p.l.c.;Major Integrated Oil & Gas
MRB.PA;Mr. Bricolage SA;Home Improvement Stores
BSN.DE;Danone;Food - Major Diversified
BSN.F;Danone;Food - Major Diversified
BST.F;Bastei Lübbe AG;Publishing - Newspapers
BSL.F;Basler Aktiengesellschaft;Electronic Equipment
BSP.F;BAE Systems plc;Aerospace/Defense - Major Diversified
BTQ.F;BT Group plc;Wireless Communications
BUR.PA;Burelle SA;Auto Parts
BUI.PA;Barbara Bui;Textile - Apparel Clothing
BYW6.F;BayWa Aktiengesellschaft;Business Services
POC.F;Potash Corporation of Saskatchewan Inc.;Agricultural Chemicals
MLHMC.PA;Hotel Majestic Cannes;Lodging
CBDG.PA;Compagnie du Cambodge;Conglomerates
CAS.PA;Cast SA;Technical & System Software
CAR.DE;Carrefour SA;Grocery Stores
CAPLI.PA;Groupe Capelli;Property Management
CAP.F;Capital Stage AG;Diversified Utilities
CBK.F;Commerzbank AG;Money Center Banks
CCN.PA;Caisse Régionale de Crédit Agricole Mutuel de Normandie-Seine;Money Center Banks
CCC3.DE;The Coca-Cola Company;Beverages - Soft Drinks
CCC3.F;The Coca-Cola Company;Beverages - Soft Drinks
CDI.PA;Christian Dior SE;Jewelry Stores
PV3.F;pSivida Corp.;Biotechnology
CDM1.F;Coeur Mining, Inc.;Silver
CGR.PA;CeGeREAL SA;REIT - Office
CEN.PA;Groupe CRIT SA;Staffing & Outsourcing Services
CWC.F;CEWE Stiftung & Co. KGaA;Personal Services
CE2.F;CropEnergies AG;Major Integrated Oil & Gas
MLROU.PA;Rousselet Centrifugation S.A.;Diversified Machinery
CG3.F;Celgene Corporation;Biotechnology
CEA.F;FRIWO AG;Communication Equipment
CEV.F;CENTROTEC Sustainable AG;Rubber & Plastics
CSH.F;CENIT Aktiengesellschaft;Business Software & Services
CFC.F;UET United Electronic Technology AG;Conglomerates
CFI.PA;CFI-Compagnie Foncière Internationale;REIT - Diversified
TVRB.PA;Téléverbier SA;Resorts & Casinos
MLTRC.PA;Laboratoire les 3 Chênes;Personal Products
LTEC.F;Logitech International S.A.;Computer Based Systems
LO3.F;Lonza Group Ltd;Medical Laboratories & Research
CHSR.PA;Chausseria;Textile - Apparel Footwear & Accessories
OBH.F;OC Oerlikon Corporation AG;Diversified Machinery
DCH1.F;The Dow Chemical Company;Chemicals - Major Diversified
MLFIR.PA;FirstCaution SA;Insurance Brokers
CHAU.PA;Compagnie Parisienne de Chauffage Urbain;Water Utilities
SUL1.F;Sulzer Ltd;Diversified Machinery
HLG.F;Highlight Communications AG;Entertainment - Diversified
LSPP.F;LINDT SPRUENGLI PS SF 10;Confectioners
MT4.F;Matador Private Equity AG;Asset Management
CSX.F;Credit Suisse Group AG;Money Center Banks
O5H.F;OpenLimit Holding AG;Business Software & Services
SVJ.F;Syngenta AG;Agricultural Chemicals
GYC.F;Grand City Properties S.A.;Property Management
MLMAT.PA;Simat;Air Delivery & Freight Services
MLCIO.PA;Groupe CIOA;Conglomerates
VIL.PA;VIEL & Cie;Investment Brokerage - National
LTAN.PA;Le Tanneur & Cie;Textile - Apparel Footwear & Accessories
CJ6.F;Cameco Corporation;Industrial Metals & Minerals
CLRN.F;Clariant AG;Specialty Chemicals
PC6.F;PetroChina Company Limited;Major Integrated Oil & Gas
CHL.F;China Life Insurance Company Limited;Life Insurance
CPA.F;Colgate-Palmolive Company;Personal Products
O5G.F;CPI Property Group S.A.;Property Management
SZ1.F;SUEZ SA;Water Utilities
MLFCI.PA;Financière Croissance Investissement SA;Recreational Goods, Other
CRI.PA;Chargeurs S.A.;Textile Industrial
MLCTA.PA;CTA Holdings;Diversified Machinery
CTM.F;China Mobile Limited;Wireless Communications
CTAA.F;Capita plc;Business Services
EVD.F;CTS Eventim AG & Co. KGaA;Entertainment - Diversified
CTRG.PA;Catering International & Services Société Anonyme;Business Services
CUR.F;Curasan AG;Biotechnology
CVC1.F;Carnival Corporation;Recreational Goods, Other
T5O.F;CytoTools AG;Asset Management
DAI.F;Daimler AG;Auto Manufacturers - Major
IMDA.PA;Immobiliere Dassault SA;REIT - Diversified
DAR.F;DATRON AG;Business Equipment
DAM.F;DATA MODUL Aktiengesellschaft, Produktion und Vertrieb von elektronischen Systemen;Diversified Electronics
DLT.PA;Dalet S.A.;Technical & System Software
D6H.F;DATAGROUP SE;Information Technology Services
DAP.F;Danaher Corporation;Diversified Machinery
4DS.F;Daldrup & Söhne Aktiengesellschaft;Oil & Gas Drilling & Exploration
DBT.PA;Encres Dubuit;Specialty Chemicals
DBG.PA;Derichebourg;Waste Management
DBAN.F;Deutsche Beteiligungs AG;Asset Management
DBK.F;Deutsche Bank Aktiengesellschaft;Money Center Banks
DCO.F;Deere & Company;Farm & Construction Machinery
DTE.F;Deutsche Telekom AG;Wireless Communications
DPW.F;Deutsche Post AG;Air Delivery & Freight Services
DEZ.F;DEUTZ Aktiengesellschaft;Diversified Machinery
COM.PA;Constructions Industrielles de la Méditerranée;Waste Management
93M.F;MPH Health Care AG;Drugs - Generic
GFK.F;GfK SE;Business Services
DRW8.F;Dragerwerk AG & Co. KGaA;Medical Appliances & Equipment
MLMGL.PA;Magillem Design Services SA;Electronics Wholesale
WUW.F;Wüstenrot & Württembergische AG;Money Center Banks
ESY.F;EASY SOFTWARE AG;Business Services
PGN.F;Paragon AG;Auto Parts
MLMED.PA;Meubles Delias SA;Home Furnishings & Fixtures
MDG1.F;MediGene AG;Biotechnology
S4A.F;SMT Scharf AG;Railroads
MEO3.F;METRO AG;Specialty Retail, Other
RHK.F;Rhön-Klinikum Aktiengesellschaft;Hospitals
NTG.F;Nabaltec AG;Chemicals - Major Diversified
DLTA.PA;Delta Plus Group;Textile - Apparel Clothing
EKT.F;Energiekontor AG;Electric Utilities
MBB.F;MBB SE;Asset Management
EDL.F;Edel AG;Recreational Goods, Other
MAK.F;Maternus-Kliniken Aktiengesellschaft;Hospitals
FRS.F;FORIS AG;Business Services
TGT.F;11 88 0 Solutions AG;Wireless Communications
MUX.F;mutares AG;Asset Management
MRK.F;Merck Kommanditgesellschaft auf Aktien;Drugs - Generic
EV4.F;Constantin Medien AG;Broadcasting - TV
MLEDR.PA;Compagnie Des Eaux De Royan;Water Utilities
SIS.F;First Sensor AG;Semiconductor Equipment & Materials
UTDI.F;United Internet AG;Wireless Communications
FPE.F;Fuchs Petrolub SE;Chemicals - Major Diversified
DGE.PA;Diageo plc;Beverages - Wineries & Distillers
DGR.F;Deutsche Grundstücksauktionen AG;Property Management
DLG.F;Dialog Semiconductor Plc;Semiconductor - Broad Line
MLDIG.PA;Digitech;Technical & System Software
DIE.F;Dierig Holding AG;Textile Industrial
DIG.PA;Digigram S.A.;Diversified Electronics
DIS.F;Diskus Werke AG;Diversified Machinery
LDB.F;H. Lundbeck A/S;Drugs - Generic
GIL.F;DMG Mori Aktiengesellschaft;Machine Tools & Accessories
DNQA.F;Statoil ASA;Major Integrated Oil & Gas
NK1A.F;DNO ASA;Independent Oil & Gas
DNX.PA;DNXCorp SE;Specialty Retail, Other
DPAM.PA;Docks des PÃ©troles d'AmbÃ¨s SA;Oil & Gas Refining & Marketing
DPWA.F;Deutsche Post AG;Air Delivery & Freight Services
DRI.F;Drillisch Aktiengesellschaft;Wireless Communications
DRW3.F;Dragerwerk AG & Co. KGaA;Medical Appliances & Equipment
RHO5.F;Roche Holding AG;Biotechnology
DR0.F;Deutsche Rohstoff AG;Industrial Metals & Minerals
EFF.F;Deutsche Effecten- und Wechsel-Beteiligungsgesellschaft AG;Asset Management
O2D.F;Telefónica Deutschland Holding AG;Wireless Communications
DUE.F;Dürr Aktiengesellschaft;Diversified Machinery
PVL.PA;Plastiques du Val de Loire;Rubber & Plastics
R6C.F;Royal Dutch Shell plc;Major Integrated Oil & Gas
FCMC.PA;Société Fermière du Casino Municipal de Cannes;Lodging
PDA.F;PRO DV AG;Business Services
DWD.F;Morgan Stanley;Investment Brokerage - National
MLDYN.PA;Dynafond SA;Auto Parts
ND3.F;Northern Dynasty Minerals Ltd.;Industrial Metals & Minerals
MLDYX.PA;Dynex Energy S.A.;Independent Oil & Gas
MLEAS.PA;Easson Telecom Limited;Wireless Communications
EBA.F;eBay Inc.;Specialty Retail, Other
ECASA.PA;ECA SA;Diversified Machinery
ECX.F;Epigenomics AG;Biotechnology
E4C.F;ecotel communication ag;Wireless Communications
EC.PA;Total Gabon;Independent Oil & Gas
ED4.F;EDAG Engineering Group AG;Industrial Metals & Minerals
E2F.F;Electricité de France S.A.;Diversified Utilities
GID.PA;Egide S.A.;Electronic Equipment
H5E.F;HELMA Eigenheimbau Aktiengesellschaft;Residential Construction
EIFF.PA;Société de la Tour Eiffel;REIT - Office
ELEC.PA;Électricite de Strasbourg Société Anonyme;Electric Utilities
ELE.PA;Euler Hermes Group SA;Property & Casualty Insurance
GNE.PA;General Electric Company;Diversified Machinery
LPK.F;LPKF Laser & Electronics Aktiengesellschaft;Diversified Machinery
GEC.DE;General Electric Company;Diversified Machinery
SCE.F;Schweizer Electronic AG;Electronic Equipment
GEC.F;General Electric Company;Diversified Machinery
SND.F;Schneider Electric S.E.;Diversified Machinery
TONN.PA;Tonna Electronique SA;Communication Equipment
E2F.DE;Electricité de France S.A.;Diversified Utilities
E8X.F;elexxion AG;Medical Appliances & Equipment
LLY.F;Eli Lilly and Company;Drug Manufacturers - Major
ELB.F;elumeo SE;Diversified Utilities
ELG.F;ELMOS Semiconductor AG;Semiconductor Equipment & Materials
SND.DE;Schneider Electric S.E.;Diversified Machinery
EMG.PA;Euromedis Groupe;Medical Appliances & Equipment
EMQ.F;emQtec AG;Rubber & Plastics
SZ1.DE;SUEZ SA;Water Utilities
SCHP.PA;Séché Environnement SA;Waste Management
MLEES.PA;Energie Europe Service;Electric Utilities
MCPHY.PA;McPhy Energy SA;Diversified Machinery
ENX.PA;Euronext N.V.;Asset Management
FOH.F;Fred. Olsen Energy ASA;Oil & Gas Drilling & Exploration
MVV1.F;MVV Energie AG;Diversified Utilities
EOSI.PA;EOS imaging SA;Medical Appliances & Equipment
MLEMG.PA;Eon Motors Group SA;Auto Manufacturers - Major
EOAN.F;E.ON SE;Diversified Utilities
EXPL.PA;EPC Groupe;Chemicals - Major Diversified
ERA.PA;ERAMET S.A.;Industrial Metals & Minerals
ERCB.F;Telefonaktiebolaget LM Ericsson (publ);Communication Equipment
ERO1.F;tmc Content Group AG;Entertainment - Diversified
ERCG.F;Telefonaktiebolaget LM Ericsson (publ);Communication Equipment
ERMK.F;DEAG Deutsche Entertainment Aktiengesellschaft;Entertainment - Diversified
ESI.PA;ESI Group SA;Technical & System Software
GTQ1.F;Siemens Gamesa Renewable Energy, S.A.;Diversified Machinery
IBE1.F;Iberdrola, S.A.;Diversified Utilities
GAN.F;Gas Natural SDG, S.A.;Gas Utilities
TNE5.F;Telefónica, S.A.;Wireless Communications
MLHIN.PA;Société Hôtelière et Immobilière de Nice S.A.;Lodging
PAT.PA;Patrimoine et Commerce SA;Textile - Apparel Clothing
MLCAC.PA;Lombard et Medot SA;Beverages - Brewers
MLERO.PA;Euroland Corporate;Investment Brokerage - National
EURS.PA;Foncière Euris SA;Property Management
GET.PA;Groupe Eurotunnel SE;Heavy Construction
RO5K.F;Ropal Europe AG;Chemicals - Major Diversified
EUCA.F;euromicron AG;Information Technology Services
DEQ.F;Deutsche Euroshop AG;REIT - Retail
EUR.PA;Euro Ressources S.A.;Gold
MLEVE.PA;Everset;Apparel Stores
GLO.PA;GL Events;Business Services
EVK.F;Evonik Industries AG;Specialty Chemicals
METEX.PA;Metabolic Explorer S.A.;Chemicals - Major Diversified
EXE.PA;Exel Industries Société Anonyme;Farm & Construction Machinery
EXAC.PA;Exacompta Clairefontaine SA;Paper & Paper Products
EX9.F;Exelixis, Inc.;Biotechnology
MLHYE.PA;Hydro Exploitations SA;Electronics Wholesale
NWT.F;Wells Fargo & Company;Money Center Banks
FAM1.F;Deutsche Cannabis AG;Conglomerates
FVI.F;Fair Value REIT-AG;REIT - Diversified
FAUV.PA;Fauvet-Girel;Investment Brokerage - National
MFC.PA;Maisons France Confort S.A.;Residential Construction
MALT.PA;Malteries Franco-Belges Société Anonyme;Beverages - Brewers
FED.PA;Giorgio Fedon & Figli Spa;Personal Products
B7J.F;SRV Group Plc;General Contractors
FIE.F;Fielmann AG;Specialty Retail, Other
OUTA.F;Outokumpu Oyj;Steel & Iron
ORIA.PA;Fiducial Real Estate;Real Estate Development
ENUR.F;Stora Enso Oyj;Paper & Paper Products
FLO.PA;Groupe Flo SA;Restaurants
FMU.PA;Fonciere Des Murs;REIT - Hotel/Motel
FMEA.F;Fresenius Medical Care AG & Co. KGAA;Hospitals
FNTN.F;freenet AG;Wireless Communications
LEBL.PA;Foncière 7 investissement Société Anonyme;Personal Products
INEA.PA;Fonciere Inea S.A.;REIT - Office
L1OA.F;Lloyd Fonds AG;Asset Management
SPEL.PA;Foncière Volta;Property Management
MLVIN.PA;Foncière Vindi SAS;Property Management
FYB.F;Formycon AG;Biotechnology
FPE3.F;Fuchs Petrolub SE;Chemicals - Major Diversified
FPH.F;Francotyp-Postalia Holding AG;Business Services
FPMB.F;Freeport-McMoRan Inc.;Copper
THER.PA;Thermocompact SA;Diversified Machinery
TFF.PA;TFF Group;Beverages - Brewers
SOG.PA;Sogeclair SA;Business Software & Services
SOFR.PA;Societe Francaise de Gestion et d'Investissement;Asset Management
SO.PA;Somfy SA;Home Furnishings & Fixtures
SFT.PA;Soft Computing;Internet Information Providers
SFBS.PA;Sofibus Patrimoine S.A.;Real Estate Development
SDG.PA;Synergie SE;Staffing & Outsourcing Services
SCR.PA;SCOR SE;Property & Casualty Insurance
SAMS.PA;Samse SA;Industrial Equipment Wholesale
SABE.PA;Sabeton SA;Food - Major Diversified
RIB.PA;Riber S.A.;Semiconductor Equipment & Materials
RCF.PA;Teleperformance SE;Business Services
PSB.PA;PSB Industries;Packaging & Containers
MUN.PA;Micropole S.A.;Business Services
MRM.PA;M.R.M. SA;REIT - Diversified
MMB.PA;Lagardère SCA;Publishing - Newspapers
MLVST.PA;Televista SA;Broadcasting - TV
MLTRO.PA;TROC DE L'ILE SA;Specialty Retail, Other
MLPOL.PA;Pol-Roger (Champagne);Beverages - Wineries & Distillers
MLPFX.PA;Parfex SA;Specialty Chemicals
MLLEA.PA;Leaderlease;Rental & Leasing Services
MLIML.PA;ImAlliance SA;Entertainment - Diversified
MLIDS.PA;IDS France SAS;Technical & System Software
MLGEO.PA;GEOREX S.A.;Independent Oil & Gas
LSS.PA;Lectra SA;Technical & System Software
LR.PA;Legrand SA;Diversified Machinery
LPE.PA;Groupe Laurent-Perrier;Beverages - Brewers
LD.PA;Locindus SA;Mortgage Investment
LAF.PA;Lafuma SA;Textile - Apparel Clothing
ITS.PA;ITS Group;Information Technology Services
ITP.PA;InterParfums SA;Personal Products
INSD.PA;Inside Secure SA;Business Software & Services
INN.PA;Innelec Multimédia SA;Computers Wholesale
ING.PA;Ingenico Group - GCS;Business Services
IDIP.PA;Groupe IDI;Asset Management
HF.PA;HF Company Société Anonyme;Communication Equipment
GOE.PA;Groupe Gorgé SA;Scientific & Technical Instruments
GECP.PA;GECI International S.A.;Aerospace/Defense - Major Diversified
GDMS.PA;Les Grands Moulins De Strasbourg;Farm Products
