Symbol;Name;Sector
EKI.PA;EKINOPS S.A.;Semiconductor Equipment & Materials
EDEN.PA;Edenred SA;Credit Services
ALSAS.PA;Stradim Espace Finances SA;Property Management
ALGEM.PA;Eurogerm SA;Farm Products
XONA.DE;Exxon Mobil Corporation;Major Integrated Oil & Gas
MLCVG.PA;SociÃ©tÃ© des Chemins de Fer et Tramways du Var et du Gard;Asset Management
PUB.PA;Publicis Groupe S.A.;Advertising Agencies
OR.PA;L'Oréal S.A.;Personal Products
SAN.PA;Sanofi;Drug Manufacturers - Major
SAF.PA;Safran SA;Aerospace/Defense - Major Diversified
GLE.PA;Societe Generale Group;Money Center Banks
CRTO.PA;Caisse RÃ©gionale de CrÃ©dit Agricole Mutuel de La Touraine et du Poitou;Money Center Banks
VIV.PA;Vivendi SA;Wireless Communications
SOI.PA;Soitec S.A.;Semiconductor Equipment & Materials
VRAP.PA;Vranken-Pommery Monopole Société anonyme;Beverages - Brewers
TOTB.DE;TOTAL S.A.;Major Integrated Oil & Gas
TKTT.PA;Tarkett S.A.;General Building Materials
TCH.PA;Technicolor SA;Entertainment - Diversified
SOP.PA;Sopra Steria Group;Information Technology Services
QUA.PA;Quantel;Medical Appliances & Equipment
MC.PA;LVMH Moët Hennessy Louis Vuitton S.E.;Jewelry Stores
MAU.PA;Etablissements Maurel & Prom S.A.;Independent Oil & Gas
ILD.PA;Iliad SA;Wireless Communications
HO.PA;Thales S.A.;Aerospace/Defense - Major Diversified
FR.PA;Valeo SA;Auto Parts
FP.PA;TOTAL S.A.;Major Integrated Oil & Gas
CAF.PA;Caisse RÃ©gionale de CrÃ©dit Agricole Mutuel de Paris et d'Ile-de-France;Money Center Banks
VK.PA;Vallourec SA;Steel & Iron
VIRP.PA;Virbac SA;Drug Manufacturers - Major
VAC.PA;Pierre & Vacances SA;Lodging
UG.PA;Peugeot S.A.;Auto Manufacturers - Major
THEP.PA;Thermador Groupe Société Anonyme;Business Services
TES.PA;Tessi SA;Information Technology Services
SX.PA;CS Communication & Systemes SA;Aerospace/Defense - Major Diversified
SW.PA;Sodexo S.A.;Business Services
STAL.PA;Installux SA;General Building Materials
SNW.DE;Sanofi;Drug Manufacturers - Major
SGO.PA;Compagnie de Saint-Gobain S.A.;General Building Materials
RXL.PA;Rexel S.A.;Business Services
RI.PA;Pernod Ricard SA;Beverages - Wineries & Distillers
RCO.PA;Rémy Cointreau SA;Beverages - Wineries & Distillers
PARRO.PA;Parrot S.A.;Communication Equipment
NEO.PA;Neopost S.A.;Business Equipment
MGIC.PA;MGI Coutier SA;Auto Parts
ITXT.PA;Intexa S.A.;Textile - Apparel Clothing
ICAD.PA;Icade S.A.;REIT - Diversified
HBW.PA;Hubwoo;Information Technology Services
HAV.PA;Havas SA;Marketing Services
GDS.PA;Ramsay Générale de Santé SA;Health Care Plans
FLY.PA;Societe Fonciere Lyonnaise;REIT - Office
FLE.PA;Fleury Michon SA;Food - Major Diversified
FII.PA;Lisi S.A.;Aerospace/Defense - Major Diversified
COX.PA;Nicox S.A.;Biotechnology
CA.PA;Carrefour SA;Grocery Stores
BVI.PA;Bureau Veritas SA;Business Services
BB.PA;Société BIC SA;Personal Products
XCA.DE;Credit Agricole S.A.;Money Center Banks
VRNL.PA;Verneuil Participations SA;Asset Management
TRI.PA;Trigano S.A.;Recreational Goods, Other
TOUP.PA;Touax SCA;Shipping
TER.PA;Terreïs (France);REIT - Diversified
SWP.PA;Sword Group S.E.;Technical & System Software
STF.PA;Stef SA;Railroads
SOA.PA;Sodifrance SA;Business Software & Services
SEC.PA;Soditech SA;General Contractors
SBT.PA;Oeneo SA;Beverages - Brewers
RNO.PA;Renault SA;Auto Manufacturers - Major
QTE.PA;Quotium Technologies SA;Technical & System Software
PIX.PA;Pixium Vision SA;Medical Instruments & Supplies
PIG.PA;Haulotte Group SA;Trucks & Other Vehicles
OPN.PA;Groupe Open;Information Technology Services
NOA3.DE;Nokia Corporation;Communication Equipment
NK.PA;Imerys SA;General Building Materials
NANO.PA;Nanobiotix SA;Drug Manufacturers - Major
MMT.PA;Métropole Télévision S.A.;Broadcasting - TV
MLSTR.PA;Streit Mecanique SA;Auto Parts
MLSIM.PA;Simo International Société Anonyme;Textile - Apparel Footwear & Accessories
MLRAM.PA;Raphaël Michel S.A.;Beverages - Wineries & Distillers
MLNOV.PA;Novatech Industries;Diversified Electronics
MLHBB.PA;Financiere Hoche Bains-Les-Bains SA;Mortgage Investment
MLCNT.PA;Consort NT SA;Information Technology Services
MF.PA;Wendel;Asset Management
MERY.PA;Mercialys S.A.;REIT - Retail
MED.PA;Medasys S.A.;Healthcare Information Services
MAGIS.PA;Ymagis Société Anonyme;Entertainment - Diversified
LBON.PA;Compagnie Lebon;Asset Management
LACR.PA;Lacroix SA;Scientific & Technical Instruments
KN.PA;Natixis S.A.;Money Center Banks
JBOG.PA;Jacques Bogart S.A.;Personal Products
ITE.PA;Itesoft SA;Technical & System Software
IPS.PA;Ipsos SA;Marketing Services
IPN.PA;Ipsen S.A.;Drugs - Generic
IPH.PA;Innate Pharma S.A.;Biotechnology
IML.PA;Affine R.E.;REIT - Diversified
GZF.DE;ENGIE SA;Diversified Utilities
GTT.PA;Gaztransport & Technigaz S.A.;Diversified Machinery
GFI.PA;GFI Informatique SA;Information Technology Services
GFC.PA;Gecina SA;REIT - Diversified
GEA.PA;Grenobloise d'Electronique et d'Automatismes Société Anonyme;Business Equipment
